央视高清,#genre#
CCTV1高清,http://iptv.tvfix.org/hls/cctv1hd.m3u8
CCTV2高清,http://iptv.tvfix.org/hls/cctv2hd.m3u8
CCTV3高清,http://iptv.tvfix.org/hls/cctv3hd.m3u8
CCTV4高清,http://iptv.tvfix.org/hls/cctv4hd.m3u8
CCTV5高清,http://iptv.tvfix.org/hls/cctv5hd.m3u8
CCTV5+高清,http://iptv.tvfix.org/hls/cctv5phd.m3u8
CCTV6高清,http://iptv.tvfix.org/hls/cctv6hd.m3u8
CCTV7高清,http://iptv.tvfix.org/hls/cctv7hd.m3u8
CCTV8高清,http://iptv.tvfix.org/hls/cctv8hd.m3u8
CCTV9高清,http://iptv.tvfix.org/hls/cctv9hd.m3u8
CCTV10高清,http://iptv.tvfix.org/hls/cctv10hd.m3u8
CCTV11高清,http://iptv.tvfix.org/hls/cctv11hd.m3u8
CCTV12高清,http://iptv.tvfix.org/hls/cctv12hd.m3u8
CCTV13高清,http://iptv.tvfix.org/hls/cctv13hd.m3u8
CCTV14高清,http://iptv.tvfix.org/hls/cctv14hd.m3u8
CCTV15高清,http://iptv.tvfix.org/hls/cctv15hd.m3u8
CCTV-16高清,http://iptv.tvfix.org/hls/cctv16hd.m3u8
CCTV17高清,http://iptv.tvfix.org/hls/cctv17hd.m3u8
CCTV14K超高清,http://iptv.tvfix.org/hls/cctv4k.m3u8
CCTV-8K超高清,http://117.148.179.157/PLTV/88888888/224/3221233350/index.m3u8
CGTN高清,http://iptv.tvfix.org/hls/cgtnhd.m3u8
CGTN纪录高清,http://iptv.tvfix.org/hls/cgtndochd.m3u8
CGTN法语高清,http://iptv.tvfix.org/hls/cgtnfhd.m3u8
CGTN俄语高清,http://iptv.tvfix.org/hls/cgtnehd.m3u8
CGTN阿拉伯语高清,http://iptv.tvfix.org/hls/cgtnahd.m3u8
CGTN西班牙语高清,http://iptv.tvfix.org/hls/cgtnxhd.m3u8
4K测试,#genre#
CCTV4K,http://fangsong.live/hls/cctv4k.php
CCTV4K,http://iptv.tvfix.org/hls/cctv4k.m3u8
CCTV4KUHD,http://39.134.116.30:8080/PLTV/88888910/224/3221225786/index.m3u8
CCTV4KUHD,http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
CCTV164K,http://39.136.12.4:6610/PLTV/88888888/224/3221226283/1/index.m3u8?fmt=ts2hls
CCTV-4K超高清,http://iptv.tvfix.org/hls/cctv4k.m3u8
爱上4K,http://39.134.18.82/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
CCTV4K,https://p.ggiptv.com/v/4k.m3u8
纯享4K,http://39.134.116.30:8080/PLTV/88888910/224/3221225786/index.m3u8
苏州4K,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.55.105:6610/PLTV/88888888/224/3221226825/index.m3u8?servicetype=1
芒果TV,http://39.135.55.105:6610/PLTV/88888888/224/3221226887/index.m3u8?servicetype=1
CCTV-4K,https://p.ggiptv.com/v/4k.m3u8
CCTV-16,http://39.135.55.105:6610/PLTV/88888888/224/3221227162/index.m3u8?servicetype=1
卫视高清,#genre#
北京卫视高清,http://iptv.tvfix.org/hls/brtv1hd.m3u8
湖南卫视高清,http://iptv.tvfix.org/hls/hunanhd.m3u8
浙江卫视高清,http://iptv.tvfix.org/hls/zjhd.m3u8
江苏卫视高清,http://iptv.tvfix.org/hls/jshd.m3u8
东方卫视高清,http://iptv.tvfix.org/hls/dfhd.m3u8
安徽卫视高清,http://iptv.tvfix.org/hls/ahhd.m3u8
黑龙江卫视高清,http://iptv.tvfix.org/hls/hljhd.m3u8
辽宁卫视高清,http://iptv.tvfix.org/hls/lnhd.m3u8
深圳卫视高清,http://iptv.tvfix.org/hls/szhd.m3u8
广东卫视高清,http://iptv.tvfix.org/hls/gdhd.m3u8
天津卫视高清,http://iptv.tvfix.org/hls/tjhd.m3u8
湖北卫视高清,http://iptv.tvfix.org/hls/hbhd.m3u8
山东卫视高清,http://iptv.tvfix.org/hls/sdhd.m3u8
重庆卫视高清,http://iptv.tvfix.org/hls/cqhd.m3u8
金鹰纪实高清,http://iptv.tvfix.org/hls/gedocu.m3u8
福建东南卫视高清,http://iptv.tvfix.org/hls/dnhd.m3u8
四川卫视高清,http://iptv.tvfix.org/hls/schd.m3u8
河北卫视高清,http://iptv.tvfix.org/hls/hebhd.m3u8
江西卫视高清,http://iptv.tvfix.org/hls/jxhd.m3u8
河南卫视高清,http://iptv.tvfix.org/hls/hnhd.m3u8
广西卫视高清,http://iptv.tvfix.org/hls/gxhd.m3u8
吉林卫视高清,http://iptv.tvfix.org/hls/jlhd.m3u8
中国教育电视台1高清,http://iptv.tvfix.org/hls/cetv1hd.m3u8
海南卫视高清,http://iptv.tvfix.org/hls/lyhd.m3u8
贵州卫视高清,http://iptv.tvfix.org/hls/gzhd.m3u8
安徽频道,#genre#
凤凰資訊蓝光,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰中文蓝光,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰中文蓝光,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
安徽经济生活,http://sheenic.ueuo.com/ahhdtv.php?id=12
安徽综艺体育,http://sheenic.ueuo.com/ahhdtv.php?id=17
安徽农业科技,http://sheenic.ueuo.com/ahhdtv.php?id=14
安徽公共,http://sheenic.ueuo.com/ahhdtv.php?id=16
安徽人物频道,http://sheenic.ueuo.com/ahhdtv.php?id=19
安徽国际,http://sheenic.ueuo.com/ahhdtv.php?id=18
合肥新闻,https://hylive.hfbtv.com/lsdream/pdq062k/1000/live.m3u8
合肥生活,https://hylive.hfbtv.com/lsdream/5osSo9R/1000/live.m3u8
合肥故事休闲,https://hylive.hfbtv.com/lsdream/q66ojce/1000/live.m3u8
合肥财经,https://hylive.hfbtv.com/lsdream/FRTSshY/1000/live.m3u8
合肥教育法制,https://hylive.hfbtv.com/lsdream/5EfK6HI/1000/live.m3u8
合肥公共,https://hylive.hfbtv.com/lsdream/pytL5lE/1000/live.m3u8
肥西综合频道,http://112.30.194.221:20080/live/7210e3a27cc64ac4a3f7aba2e2b683d5/hls.m3u8
肥东经济生活,http://120.210.216.73:8080/ysten-business/live/SD12-576P-fdjjsh/1.m3u8
长丰新闻综合,http://218.23.114.19:1935/live/xinwen/playlist.m3u8
桐城新闻频道,http://pili-live-hls.ahtc.tianma3600.com/ahtc/tcxw.m3u8
合肥财经,https://hylive.hfbtv.com/lsdream/FRTSshY/1000/live.m3u8
合肥公共,https://hylive.hfbtv.com/lsdream/pytL5lE/1000/live.m3u8
合肥故事休闲,https://hylive.hfbtv.com/lsdream/q66ojce/1000/live.m3u8
合肥教育法制,https://hylive.hfbtv.com/lsdream/5EfK6HI/1000/live.m3u8
合肥生活,https://hylive.hfbtv.com/lsdream/5osSo9R/1000/live.m3u8
合肥新闻,https://hylive.hfbtv.com/lsdream/pdq062k/1000/live.m3u8
淮南新闻综合,http://stream.0554news.com/hnds1/sd/live.m3u8
黄山新闻综合,http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8
霍邱新闻综合,http://120.210.216.73:8080/ysten-business/live/SD12-576P-huoqiu/1.m3u8
金寨综合频道,http://112.26.80.214:1935/live/xinwen/playlist.m3u8
六安新闻综合,http://pili-live-rtmp.luan2.hfmt.net/luan2/jjpd.m3u8
舒城新闻综合,http://220.180.24.62:1935/live/live2/playlist.m3u8
宿松新闻综合,http://112.30.194.221:20080/live/a8fd37c471fa46e18ec17b6ce4730eb7/hls.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
太和新闻综合,http://p2.weizan.cn/1110366022/132071060845712961/live.m3u8
铜陵新闻综合,http://dstpush1.retalltech.com/app/stream1.m3u8
涡阳新闻综合,http://111.39.71.77:8099/live/one/playlist.m3u8
芜湖生活频道,http://play.wuhunews.cn/whbtv/channel2_sd.m3u8
芜湖新闻综合,http://play.wuhunews.cn/whbtv/channel1_sd.m3u8
五河新闻综合,http://60.170.109.149:1935/live/wuhe2/playlist.m3u8
萧县新闻综合,http://60.171.238.200:8278/xwzh/playlist.m3u8
休宁新闻综合,http://120.210.216.73:8080/ysten-business/live/hsxndst/1.m3u8
黟县综合频道,http://app.yixianfabu.com:1935/live/yixian/playlist.m3u8
岳西综合频道,http://58.243.4.22:1935/live/zonghe/playlist.m3u8
上海频道,#genre#
上海新闻综合高清,http://iptv.tvfix.org/hls/shxwzhhd.m3u8
上海东方影视高清,http://iptv.tvfix.org/hls/shdfyshd.m3u8
上海都市频道高清,http://iptv.tvfix.org/hls/shdspdhd.m3u8
上海外语频道高清,http://iptv.tvfix.org/hls/shwypdhd.m3u8
上海第一财经高清,http://iptv.tvfix.org/hls/shdycjhd.m3u8
五星体育高清,http://iptv.tvfix.org/hls/wxtyhd.m3u8
极速汽车高清,http://iptv.tvfix.org/hls/jsqchd.m3u8
劲爆体育高清,http://iptv.tvfix.org/hls/jbtyhd.m3u8
新视觉高清,http://iptv.tvfix.org/hls/xsjhd.m3u8
魅力足球高清,http://iptv.tvfix.org/hls/mlzqhd.m3u8
游戏风云高清,http://iptv.tvfix.org/hls/yxfyhd.m3u8
全纪实高清,http://iptv.tvfix.org/hls/qjshd.m3u8
纪实人文高清,http://iptv.tvfix.org/hls/docuchina.m3u8
CHC高清电影,http://iptv.tvfix.org/hls/chchd.m3u8
CHC家庭影院,http://iptv.tvfix.org/hls/chctv.m3u8
CHC动作电影,http://iptv.tvfix.org/hls/chcatv.m3u8
哈哈炫动高清,http://iptv.tvfix.org/hls/hhxdhd.m3u8
金鹰卡通,http://iptv.tvfix.org/hls/jykttv.m3u8
优漫卡通,http://iptv.tvfix.org/hls/ymkttv.m3u8
新动漫,http://iptv.tvfix.org/hls/xdmtv.m3u8
足球频道,http://iptv.tvfix.org/hls/zqhd.m3u8
北京文艺高清,http://iptv.tvfix.org/hls/brtv2hd.m3u8
北京科教高清,http://iptv.tvfix.org/hls/brtv3hd.m3u8
北京影视高清,http://iptv.tvfix.org/hls/brtv4hd.m3u8
北京财经高清,http://iptv.tvfix.org/hls/brtv5hd.m3u8
北京生活高清,http://iptv.tvfix.org/hls/brtv7hd.m3u8
北京青年高清,http://iptv.tvfix.org/hls/brtv8hd.m3u8
北京新闻高清,http://iptv.tvfix.org/hls/brtv9hd.m3u8
北京卡酷少儿高清,http://iptv.tvfix.org/hls/brtv10hd.m3u8
北京冬奥纪实高清,http://iptv.tvfix.org/hls/brtv11hd.m3u8
港台频道,#genre#
鳳凰資訊台HD,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
鳳凰資訊台HD,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
鳳凰資訊台HD,http://111.59.189.40:8445/tsfile/live/1021_1.m3u8
鳳凰中文台HD,http://111.59.189.40:8445/tsfile/live/1020_1.m3u8
鳳凰中文台HD,http://59.44.10.116:9901/tsfile/live/1022_1.m3u8
鳳凰香港台HD,http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
鳳凰資訊台HD,http://iptv.tvfix.org/hls/fhzx.m3u8
鳳凰中文台HD,http://iptv.tvfix.org/hls/fhzw.m3u8
鳳凰電影台HD,http://iptv.tvfix.org/hls/fhdy.m3u8
鳳凰香港台HD,http://59.44.10.113:9901/tsfile/live/1080_1.m3u8
鳳凰中文台HD,http://59.44.10.113:9901/tsfile/live/1079_1.m3u8
鳳凰資訊台HD,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
鳳凰電影台HD,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
俄罗斯中文台,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
翡翠台(第1声道繁体),http://iptv.tvfix.org/hls/jade.m3u8
翡翠台(第2声道简体),http://iptv.tvfix.org/hls/jade2.m3u8
翡翠台海外版(粤语繁体),http://iptv.tvfix.org/hls/jadenhk.m3u8
翡翠台海外版(普通话简体),http://iptv.tvfix.org/hls/jadenhk2.m3u8
翡翠台,http://120.84.96.222:808/hls/25/index.m3u8
明珠台,http://120.84.96.222:808/hls/26/index.m3u8
J2,http://120.84.96.222:808/hls/86/index.m3u8
CHC家庭电影,http://120.84.96.222:808/hls/36/index.m3u8
CHC动作电影,http://120.84.96.222:808/hls/31/index.m3u8
东森电影HD,http://120.84.96.222:808/hls/32/index.m3u8
东森洋片HD,http://120.84.96.222:808/hls/33/index.m3u8
莲花卫视HD,http://120.84.96.222:808/hls/24/index.m3u8
星空卫视,http://120.84.96.222:808/hls/79/index.m3u8
天映经典HD,http://120.84.96.222:808/hls/85/index.m3u8
龙祥时代HD,http://120.84.96.222:808/hls/35/index.m3u8
南方卫视（星）,http://120.84.96.222:808/hls/67/index.m3u8
南方卫视HD,http://120.84.96.222:808/hls/119/index.m3u8
广东卫视HD,http://120.84.96.222:808/hls/16/index.m3u8
广东体育HD,http://120.84.96.222:808/hls/22/index.m3u8
广东卫视HD,http://120.84.96.222:808/hls/121/index.m3u8
广东珠江HD,http://120.84.96.222:808/hls/122/index.m3u8
广东影视HD,http://120.84.96.222:808/hls/142/index.m3u8
HK国际财经台,http://iptv.tvfix.org/hls/hkibc.m3u8
美亚电影台(粤语),http://iptv.tvfix.org/hls/mydy.m3u8
美亚电影台(普通话),http://iptv.tvfix.org/hls/mydy2.m3u8
卫视电影台,http://iptv.tvfix.org/hls/starmovies.m3u8
天映频道,http://iptv.tvfix.org/hls/typd.m3u8
天映经典,http://iptv.tvfix.org/hls/tyjd.m3u8
天映经典(第2声道),http://iptv.tvfix.org/hls/tyjd2.m3u8
J2,http://iptv.tvfix.org/hls/j2.m3u8
J2(第2声道),http://iptv.tvfix.org/hls/j22.m3u8
无线新闻台,http://iptv.tvfix.org/hls/inews.m3u8
无线新闻台(第2声道),http://iptv.tvfix.org/hls/inews2.m3u8
明珠台,http://iptv.tvfix.org/hls/pearl.m3u8
明珠台(第2声道),http://iptv.tvfix.org/hls/pearl2.m3u8
无线财经资讯台,http://iptv.tvfix.org/hls/finance.m3u8
无线财经资讯台(第2声道),http://iptv.tvfix.org/hls/finance2.m3u8
无线财经资讯台海外版,http://iptv.tvfix.org/hls/financenhk.m3u8
ViuTV,http://iptv.tvfix.org/hls/viutv.m3u8
ViuTV(第2声道),http://iptv.tvfix.org/hls/viutv2.m3u8
ViuTV6,http://iptv.tvfix.org/hls/viutv6.m3u8
RTHK31,http://iptv.tvfix.org/hls/rthk31.m3u8
RTHK32,http://iptv.tvfix.org/hls/rthk32.m3u8
HBO(第1声道粤语),http://iptv.tvfix.org/hls/hbo.m3u8
HBO(第2声道原声),http://iptv.tvfix.org/hls/hbo2.m3u8
HBO Hits(第1声道粤语),http://iptv.tvfix.org/hls/hbohits.m3u8
HBO Hits(第2声道原声),http://iptv.tvfix.org/hls/hbohits2.m3u8
